date,start,end,duration,event_type,file,app,command,raw
2026-04-13,13:20:59,17:36:24,255.42,app,,PICS,,PICS
2026-04-13,17:44:25,18:52:30,69.1,file,Preview CORRECTION.md,Visual Studio Code,,Preview CORRECTION.md - taskMonitor - Visual Studio Code
2026-04-13,13:36:20,13:40:42,18.93,file,UNDEFEATED · XG & VALORANT #Dance Cover.mp4,VLC media player,,UNDEFEATED · XG & VALORANT #Dance Cover.mp4 - VLC media player
2026-04-13,19:11:41,19:17:07,5.43,app,,Google Chrome,,Search results for 'pretty lethal' on FlixHQ - Google Chrome
2026-04-13,18:10:44,18:16:06,5.37,app,,Google Chrome,,(13) Taylor Swift - Long Live (Taylor's Version) (Lyric Video) - YouTube - Google Chrome
2026-04-13,17:41:02,17:42:37,5.18,file,main_window.py,Visual Studio Code,,main_window.py - taskMonitor - Visual Studio Code
2026-04-13,17:58:21,18:03:24,5.05,app,,Google Chrome,,(13) Foreigner - I Want to Know What Love Is (Lyrics) - YouTube - Google Chrome
2026-04-13,18:45:51,18:50:07,4.27,app,,Google Chrome,,(13) BTS (방탄소년단) '2.0' Official MV - YouTube - Google Chrome
2026-04-13,18:06:29,18:10:44,4.25,app,,Google Chrome,,(13) Taylor Swift - How You Get The Girl (Taylor's Version) (Lyric Video) - YouTube - Google Chrome
2026-04-13,18:22:57,18:26:53,3.93,app,,Google Chrome,,(13) Taylor Swift - Miss Americana & The Heartbreak Prince (Official Audio) - YouTube - Google Chrome
2026-04-13,17:54:33,17:58:21,3.8,app,,Google Chrome,,(13) The Police Every Breath You Take (Lyrics) - YouTube - Google Chrome
2026-04-13,18:16:06,18:19:38,3.53,app,,Google Chrome,,(13) Taylor Swift - Wi$h Li$t (Lyric Video) - YouTube - Google Chrome
2026-04-13,18:26:53,18:30:20,3.45,app,,Google Chrome,,(13) Taylor Swift - Call It What You Want (Lyric Video) - YouTube - Google Chrome
2026-04-13,17:51:17,17:54:33,3.33,app,,Google Chrome,,(13) Billy Joel - Uptown Girl (Lyrics) - YouTube - Google Chrome
2026-04-13,18:19:38,18:22:57,3.32,app,,Google Chrome,,(13) Taylor Swift - Bejeweled (Lyric Video) - YouTube - Google Chrome
2026-04-13,18:06:27,18:06:29,3.02,app,,Google Chrome,,(13) George Michael - Careless Whisper (Official Video) - YouTube - Google Chrome
2026-04-13,18:35:22,18:35:24,2.83,app,,Google Chrome,,(13) Anna Shcherbakova 💓 #аннащербакова #annashcherbakova #figureskating #skating #shorts - YouTube - Google Chrome
2026-04-13,19:11:21,19:11:41,2.68,app,,Google Chrome,,Watch Movies and Watch Series HD Online on FlixHQ - Google Chrome
2026-04-13,19:06:29,19:08:53,2.4,file,ww7.123moviesfree.net,Google Chrome,,ww7.123moviesfree.net - Google Chrome
2026-04-13,17:39:43,17:41:02,2.27,file,processing.py,Visual Studio Code,,processing.py - taskMonitor - Visual Studio Code
2026-04-13,18:34:50,18:35:22,2.13,app,,Google Chrome,,(13) Taylor Swift - Afterglow (Official Audio) - YouTube - Google Chrome
2026-04-13,18:37:04,18:38:56,1.87,app,,Google Chrome,,(13) Who deserved the Olympic gold medal in ladies singles skating at the 2022 Olympics? 🥇 - YouTube - Google Chrome
2026-04-13,19:17:07,19:18:10,1.83,app,,Google Chrome,,(13) Taylor Swift’s Secret Eras Tour Entrance 😳 - YouTube - Google Chrome
2026-04-13,18:50:07,18:51:53,1.77,app,,Google Chrome,,(13) They wanted her to quit 🥺 - YouTube - Google Chrome
2026-04-13,18:53:38,18:54:59,1.35,app,,Google Chrome,,(13) anna shcherbakova At this moment!!! Two Satanic Queens 💖 - YouTube - Google Chrome
2026-04-13,19:05:48,19:06:29,1.25,app,,Google Chrome,,Untitled - Google Chrome
2026-04-13,18:51:53,18:53:03,1.17,app,,Google Chrome,,(13) anna shcherbakova - YouTube - Google Chrome
2026-04-13,18:41:02,18:42:07,1.08,app,,Google Chrome,,(13) 😌💕👸 One Shoe. One Bare Foot. One Moment That Made Us Fall in LOVE With Princess Anne - YouTube - Google Chrome
2026-04-13,18:36:00,18:37:04,1.07,app,,Google Chrome,,(13) Best graduation ranking #funny #haaha #funnyprank #ranking #graduation - YouTube - Google Chrome
2026-04-13,18:55:42,18:56:45,1.05,app,,Google Chrome,,(13) infanta Sofia 💔🥲#infantasofia #Leonor #Royalfamily #Royal #king #spain #spain #Royalfamily - YouTube - Google Chrome
2026-04-13,18:40:03,18:41:02,0.98,app,,Google Chrome,,(13) Actor’s gentlemanly behavior #koreanactor #actor #ahnhyoseop #fyp #start - YouTube - Google Chrome
2026-04-13,18:59:19,19:00:12,0.88,app,,Google Chrome,,(13) Inside the training of China's elite Honor Guard #military #army #parade - YouTube - Google Chrome
2026-04-13,19:03:14,19:04:07,0.88,app,,Google Chrome,,(13) She literally nailed it 😻🔥 || Cdrama 🎭 #fy #shortsfeed - YouTube - Google Chrome
2026-04-13,18:58:30,18:59:19,0.82,app,,Google Chrome,,(13) The moment real life turned into a kdrama 😭🥲 so cuteee😭 #kdrama #short #kimyoojung #varshow - YouTube - Google Chrome
2026-04-13,18:39:15,18:40:03,0.8,app,,Google Chrome,,(13) The “noooooooo” killed me 😂 #edm #electronicdancemusic #dj #rave #gryffin - YouTube - Google Chrome
2026-04-13,17:43:42,17:44:25,0.78,file,docker-compose.yml,Visual Studio Code,,docker-compose.yml - taskMonitor - Visual Studio Code
2026-04-13,18:54:59,18:55:42,0.72,app,,Google Chrome,,(13) Have you ever wondered why Eteri Tutberidze's skaters have short careers? - YouTube - Google Chrome
2026-04-13,18:43:28,18:44:09,0.68,app,,Google Chrome,,(13) I prefer trusova #fypviralシ#iceskating #alexandratrusova #keşfetbeniöneçıkar #keşfet - YouTube - Google Chrome
2026-04-13,19:01:11,19:01:51,0.67,app,,Google Chrome,,(13) That's how I met your mom 🤌🥲 #youtube #fyp #shorts #edit - YouTube - Google Chrome
2026-04-13,18:57:54,18:58:31,0.62,app,,Google Chrome,,(13) Proof we made the right people famous ❤️‍🩹 | #taylorswift #selenagomez #ladygaga #shorts - YouTube - Google Chrome
2026-04-13,18:35:24,18:36:00,0.6,app,,Google Chrome,,(13) Whose program should be analyzed in the next video? #figureskating - YouTube - Google Chrome
2026-04-13,19:00:12,19:00:46,0.57,app,,Google Chrome,,(13) Alexandra Trusova❤️ #keşfetol #figureskating #iceskating #kesfet #olympics #keşfet #keşfetol #fyp - YouTube - Google Chrome
2026-04-13,18:44:31,18:45:02,0.52,app,,Google Chrome,,(13) She turned sadness into smile. A true winner. Her parents raised her well ❤️‍🩹 - YouTube - Google Chrome
2026-04-13,18:53:03,18:53:32,0.52,app,,Google Chrome,,(13) YouTube - Google Chrome
2026-04-13,18:45:02,18:45:31,0.48,app,,Google Chrome,,(13) Can hate me but fact is fact #btsarmy #bts #rm #jhope #suga - YouTube - Google Chrome
2026-04-13,18:57:25,18:57:54,0.48,app,,Google Chrome,,(13) Ball Kids vs. Insects: The Last One is SAVAGE 💀🦗 - YouTube - Google Chrome
